match_id,stage,group,date,time,timezone,venue,stadium_name,city,country,team1,team2,notes
18,Group Stage,I,2026-06-16,6:00 PM,ET,Boston Stadium,Gillette Stadium,"Foxborough, Massachusetts",United States,Iraq,Norway,
19,Group Stage,J,2026-06-16,9:00 PM,ET,Kansas City Stadium,Arrowhead Stadium,"Kansas City, Missouri",United States,Argentina,Algeria,
20,Group Stage,J,2026-06-16,12:00 AM,ET,San Francisco Bay Stadium,Levi's Stadium,"Santa Clara, California",United States,Austria,Jordan,Listed under June 16 in source; 12:00 AM ET is the broadcast time.
21,Group Stage,K,2026-06-17,1:00 PM,ET,Houston Stadium,NRG Stadium,"Houston, Texas",United States,Portugal,Congo DR,
22,Group Stage,L,2026-06-17,4:00 PM,ET,Dallas Stadium,AT&T Stadium,"Arlington, Texas",United States,England,Croatia,
23,Group Stage,L,2026-06-17,7:00 PM,ET,Toronto Stadium,BMO Field,Toronto,Canada,Ghana,Panama,
24,Group Stage,K,2026-06-17,10:00 PM,ET,Mexico City Stadium,Estadio Banorte,Mexico City,Mexico,Uzbekistan,Colombia,
25,Group Stage,A,2026-06-18,12:00 PM,ET,Atlanta Stadium,Mercedes-Benz Stadium,"Atlanta, Georgia",United States,Czechia,South Africa,
26,Group Stage,B,2026-06-18,3:00 PM,ET,Los Angeles Stadium,SoFi Stadium,"Inglewood, California",United States,Switzerland,Bosnia and Herzegovina,
27,Group Stage,B,2026-06-18,6:00 PM,ET,BC Place,BC Place,Vancouver,Canada,Canada,Qatar,
28,Group Stage,A,2026-06-18,9:00 PM,ET,Guadalajara Stadium,Estadio Akron,Zapopan,Mexico,Mexico,South Korea,
29,Group Stage,D,2026-06-19,3:00 PM,ET,Seattle Stadium,Lumen Field,"Seattle, Washington",United States,United States,Australia,
30,Group Stage,C,2026-06-19,3:00 PM,ET,Boston Stadium,Gillette Stadium,"Foxborough, Massachusetts",United States,Scotland,Morocco,
31,Group Stage,C,2026-06-19,9:00 PM,ET,Philadelphia Stadium,Lincoln Financial Field,"Philadelphia, Pennsylvania",United States,Brazil,Haiti,
32,Group Stage,D,2026-06-19,12:00 AM,ET,San Francisco Bay Stadium,Levi's Stadium,"Santa Clara, California",United States,Türkiye,Paraguay,Listed under June 19 in source; 12:00 AM ET is the broadcast time.
33,Group Stage,F,2026-06-20,1:00 PM,ET,Houston Stadium,NRG Stadium,"Houston, Texas",United States,Netherlands,Sweden,
34,Group Stage,E,2026-06-20,4:00 PM,ET,Toronto Stadium,BMO Field,Toronto,Canada,Germany,Ivory Coast,
35,Group Stage,E,2026-06-20,8:00 PM,ET,Kansas City Stadium,Arrowhead Stadium,"Kansas City, Missouri",United States,Ecuador,Curaçao,
36,Group Stage,F,2026-06-20,12:00 AM,ET,Monterrey Stadium,Estadio BBVA,Guadalupe,Mexico,Tunisia,Japan,Listed under June 20 in source; 12:00 AM ET is the broadcast time.
37,Group Stage,H,2026-06-21,12:00 PM,ET,Atlanta Stadium,Mercedes-Benz Stadium,"Atlanta, Georgia",United States,Spain,Saudi Arabia,
38,Group Stage,G,2026-06-21,3:00 PM,ET,Los Angeles Stadium,SoFi Stadium,"Inglewood, California",United States,Belgium,Iran,
39,Group Stage,H,2026-06-21,6:00 PM,ET,Miami Stadium,Hard Rock Stadium,"Miami Gardens, Florida",United States,Uruguay,Cape Verde,
40,Group Stage,G,2026-06-21,9:00 PM,ET,BC Place,BC Place,Vancouver,Canada,New Zealand,Egypt,
41,Group Stage,J,2026-06-22,1:00 PM,ET,Dallas Stadium,AT&T Stadium,"Arlington, Texas",United States,Argentina,Austria,
42,Group Stage,I,2026-06-22,5:00 PM,ET,Philadelphia Stadium,Lincoln Financial Field,"Philadelphia, Pennsylvania",United States,France,Iraq,
43,Group Stage,I,2026-06-22,8:00 PM,ET,New York New Jersey Stadium,MetLife Stadium,"East Rutherford, New Jersey",United States,Norway,Senegal,
44,Group Stage,J,2026-06-22,11:00 PM,ET,San Francisco Bay Stadium,Levi's Stadium,"Santa Clara, California",United States,Jordan,Algeria,
45,Group Stage,K,2026-06-23,1:00 PM,ET,Houston Stadium,NRG Stadium,"Houston, Texas",United States,Portugal,Uzbekistan,
46,Group Stage,L,2026-06-23,4:00 PM,ET,Boston Stadium,Gillette Stadium,"Foxborough, Massachusetts",United States,England,Ghana,
47,Group Stage,L,2026-06-23,7:00 PM,ET,Toronto Stadium,BMO Field,Toronto,Canada,Panama,Croatia,
48,Group Stage,K,2026-06-23,10:00 PM,ET,Guadalajara Stadium,Estadio Akron,Zapopan,Mexico,Colombia,Congo DR,
49,Group Stage,B,2026-06-24,3:00 PM,ET,BC Place,BC Place,Vancouver,Canada,Switzerland,Canada,
50,Group Stage,B,2026-06-24,3:00 PM,ET,Seattle Stadium,Lumen Field,"Seattle, Washington",United States,Bosnia and Herzegovina,Qatar,
51,Group Stage,C,2026-06-24,6:00 PM,ET,Miami Stadium,Hard Rock Stadium,"Miami Gardens, Florida",United States,Brazil,Scotland,
52,Group Stage,C,2026-06-24,6:00 PM,ET,Atlanta Stadium,Mercedes-Benz Stadium,"Atlanta, Georgia",United States,Morocco,Haiti,
53,Group Stage,A,2026-06-24,9:00 PM,ET,Mexico City Stadium,Estadio Banorte,Mexico City,Mexico,Mexico,Czechia,
54,Group Stage,A,2026-06-24,9:00 PM,ET,Monterrey Stadium,Estadio BBVA,Guadalupe,Mexico,South Korea,South Africa,
55,Group Stage,E,2026-06-25,4:00 PM,ET,New York New Jersey Stadium,MetLife Stadium,"East Rutherford, New Jersey",United States,Ecuador,Germany,
56,Group Stage,E,2026-06-25,4:00 PM,ET,Philadelphia Stadium,Lincoln Financial Field,"Philadelphia, Pennsylvania",United States,Curaçao,Ivory Coast,
57,Group Stage,F,2026-06-25,7:00 PM,ET,Kansas City Stadium,Arrowhead Stadium,"Kansas City, Missouri",United States,Tunisia,Netherlands,
58,Group Stage,F,2026-06-25,7:00 PM,ET,Dallas Stadium,AT&T Stadium,"Arlington, Texas",United States,Japan,Sweden,
59,Group Stage,D,2026-06-25,10:00 PM,ET,Los Angeles Stadium,SoFi Stadium,"Inglewood, California",United States,United States,Türkiye,
60,Group Stage,D,2026-06-25,10:00 PM,ET,San Francisco Bay Stadium,Levi's Stadium,"Santa Clara, California",United States,Paraguay,Australia,
61,Group Stage,I,2026-06-26,3:00 PM,ET,Boston Stadium,Gillette Stadium,"Foxborough, Massachusetts",United States,Norway,France,
62,Group Stage,I,2026-06-26,3:00 PM,ET,Toronto Stadium,BMO Field,Toronto,Canada,Senegal,Iraq,
63,Group Stage,H,2026-06-26,8:00 PM,ET,Guadalajara Stadium,Estadio Akron,Zapopan,Mexico,Uruguay,Spain,
64,Group Stage,H,2026-06-26,8:00 PM,ET,Houston Stadium,NRG Stadium,"Houston, Texas",United States,Cape Verde,Saudi Arabia,
65,Group Stage,G,2026-06-26,11:00 PM,ET,BC Place,BC Place,Vancouver,Canada,New Zealand,Belgium,
66,Group Stage,G,2026-06-26,11:00 PM,ET,Seattle Stadium,Lumen Field,"Seattle, Washington",United States,Egypt,Iran,
67,Group Stage,L,2026-06-27,5:00 PM,ET,New York New Jersey Stadium,MetLife Stadium,"East Rutherford, New Jersey",United States,Panama,England,
68,Group Stage,L,2026-06-27,5:00 PM,ET,Philadelphia Stadium,Lincoln Financial Field,"Philadelphia, Pennsylvania",United States,Croatia,Ghana,
69,Group Stage,K,2026-06-27,7:30 PM,ET,Miami Stadium,Hard Rock Stadium,"Miami Gardens, Florida",United States,Colombia,Portugal,
70,Group Stage,K,2026-06-27,7:30 PM,ET,Atlanta Stadium,Mercedes-Benz Stadium,"Atlanta, Georgia",United States,Congo DR,Uzbekistan,
71,Group Stage,J,2026-06-27,10:00 PM,ET,Dallas Stadium,AT&T Stadium,"Arlington, Texas",United States,Argentina,Jordan,
72,Group Stage,J,2026-06-27,10:00 PM,ET,Kansas City Stadium,Arrowhead Stadium,"Kansas City, Missouri",United States,Algeria,Austria,
73,Round of 32,,2026-06-28,3:00 PM,ET,Los Angeles Stadium,SoFi Stadium,"Inglewood, California",United States,Group A runner-up,Group B runner-up,
74,Round of 32,,2026-06-29,1:00 PM,ET,Houston Stadium,NRG Stadium,"Houston, Texas",United States,Group C winner,Group F runner-up,
75,Round of 32,,2026-06-29,4:30 PM,ET,Boston Stadium,Gillette Stadium,"Foxborough, Massachusetts",United States,Group E winner,Group A/B/C/D/F third place,
76,Round of 32,,2026-06-29,9:00 PM,ET,Monterrey Stadium,Estadio BBVA,Guadalupe,Mexico,Group F winner,Group C runner-up,
77,Round of 32,,2026-06-30,1:00 PM,ET,Dallas Stadium,AT&T Stadium,"Arlington, Texas",United States,Group E runner-up,Group I runner-up,
78,Round of 32,,2026-06-30,5:00 PM,ET,New York New Jersey Stadium,MetLife Stadium,"East Rutherford, New Jersey",United States,Group I winner,Group C/D/F/G/H third place,
79,Round of 32,,2026-06-30,9:00 PM,ET,Mexico City Stadium,Estadio Banorte,Mexico City,Mexico,Group A winner,Group C/E/F/H/I third place,
80,Round of 32,,2026-07-01,12:00 PM,ET,Atlanta Stadium,Mercedes-Benz Stadium,"Atlanta, Georgia",United States,Group L winner,Group E/H/I/J/K third place,
81,Round of 32,,2026-07-01,4:00 PM,ET,Seattle Stadium,Lumen Field,"Seattle, Washington",United States,Group G winner,Group A/E/H/I/J third place,
82,Round of 32,,2026-07-01,8:00 PM,ET,San Francisco Bay Stadium,Levi's Stadium,"Santa Clara, California",United States,Group D winner,Group B/E/F/I/J third place,
83,Round of 32,,2026-07-02,3:00 PM,ET,Los Angeles Stadium,SoFi Stadium,"Inglewood, California",United States,Group H winner,Group J runner-up,
84,Round of 32,,2026-07-02,7:00 PM,ET,Toronto Stadium,BMO Field,Toronto,Canada,Group K runner-up,Group L runner-up,
85,Round of 32,,2026-07-02,11:00 PM,ET,BC Place,BC Place,Vancouver,Canada,Group B winner,Group D/E/I/J/L third place,
86,Round of 32,,2026-07-03,2:00 PM,ET,Dallas Stadium,AT&T Stadium,"Arlington, Texas",United States,Group D runner-up,Group G runner-up,
87,Round of 32,,2026-07-03,6:00 PM,ET,Miami Stadium,Hard Rock Stadium,"Miami Gardens, Florida",United States,Group J winner,Group H runner-up,
88,Round of 32,,2026-07-03,9:30 PM,ET,Kansas City Stadium,Arrowhead Stadium,"Kansas City, Missouri",United States,Group K winner,Group D/E/I/J/L third place,
89,Round of 16,,2026-07-04,1:00 PM,ET,Houston Stadium,NRG Stadium,"Houston, Texas",United States,TBD,TBD,
90,Round of 16,,2026-07-04,5:00 PM,ET,Philadelphia Stadium,Lincoln Financial Field,"Philadelphia, Pennsylvania",United States,TBD,TBD,
91,Round of 16,,2026-07-05,4:00 PM,ET,New York New Jersey Stadium,MetLife Stadium,"East Rutherford, New Jersey",United States,TBD,TBD,
92,Round of 16,,2026-07-05,8:00 PM,ET,Mexico City Stadium,Estadio Banorte,Mexico City,Mexico,TBD,TBD,
93,Round of 16,,2026-07-06,3:00 PM,ET,Dallas Stadium,AT&T Stadium,"Arlington, Texas",United States,TBD,TBD,
94,Round of 16,,2026-07-06,8:00 PM,ET,Seattle Stadium,Lumen Field,"Seattle, Washington",United States,TBD,TBD,
95,Round of 16,,2026-07-07,12:00 PM,ET,Atlanta Stadium,Mercedes-Benz Stadium,"Atlanta, Georgia",United States,TBD,TBD,
96,Round of 16,,2026-07-07,4:00 PM,ET,BC Place,BC Place,Vancouver,Canada,TBD,TBD,
97,Quarterfinal,,2026-07-09,4:00 PM,ET,Boston Stadium,Gillette Stadium,"Foxborough, Massachusetts",United States,TBD,TBD,
98,Quarterfinal,,2026-07-10,3:00 PM,ET,Los Angeles Stadium,SoFi Stadium,"Inglewood, California",United States,TBD,TBD,
99,Quarterfinal,,2026-07-11,5:00 PM,ET,Miami Stadium,Hard Rock Stadium,"Miami Gardens, Florida",United States,TBD,TBD,
100,Quarterfinal,,2026-07-11,9:00 PM,ET,Kansas City Stadium,Arrowhead Stadium,"Kansas City, Missouri",United States,TBD,TBD,
101,Semifinal,,2026-07-14,3:00 PM,ET,Dallas Stadium,AT&T Stadium,"Arlington, Texas",United States,TBD,TBD,
102,Semifinal,,2026-07-15,3:00 PM,ET,Atlanta Stadium,Mercedes-Benz Stadium,"Atlanta, Georgia",United States,TBD,TBD,
103,Third-place match,,2026-07-18,5:00 PM,ET,Miami Stadium,Hard Rock Stadium,"Miami Gardens, Florida",United States,Loser match 101,Loser match 102,
104,Final,,2026-07-19,3:00 PM,ET,New York New Jersey Stadium,MetLife Stadium,"East Rutherford, New Jersey",United States,Winner match 101,Winner match 102,
